question,answer,source_act,section_number,circular_ref
Can I file GSTR-1 after the due date?,"Yes, GSTR-1 can be filed after the due date but late fees apply. For nil returns, late fee is Rs 20/day (Rs 10 CGST + Rs 10 SGST). For other returns, late fee is Rs 50/day (Rs 25 CGST + Rs 25 SGST), capped at Rs 5,000 for CGST and Rs 5,000 for SGST.","Central Goods and Services Tax Act, 2017",Section 47,CBIC Circular 26/26/2017-GST
What is the penalty for late PF deposit?,"If PF contributions are not deposited by the 15th of the following month, damages are levied under Para 32A of EPF Scheme. Damages range from 5% per annum (delay up to 2 months) to 25% per annum (delay over 6 months). Additionally, interest at 12% per annum is charged under Section 7Q.","Employees Provident Funds and Miscellaneous Provisions Act, 1952","Section 7Q, Para 32A EPF Scheme",EPFO Circular dated 20.02.2008
My employee resigned – do I need to update ESIC?,"Yes. When an employee resigns or separates, the employer must update the ESIC portal within 10 days of separation by marking the employee as Ceased Employee. The final ESIC contribution for the month of separation must still be deposited by the 15th of the following month. Failure to update may result in continued contribution liability.","Employees State Insurance Act, 1948","Section 40, Section 44",ESIC Office Memorandum P-11/14/13/2019-Ins.IV
What is the GST rate on corrugated packaging boxes?,Corrugated boxes and cartons of paper and paperboard attract GST at 12% under HSN code 4819. This applies to both supply and job work involving such boxes. Input tax credit is available on inputs used for manufacturing these boxes.,"Central Goods and Services Tax Act, 2017","Schedule II, Entry 122A",CBIC Rate Notification 01/2017-CT(Rate) as amended
When is the due date for GSTR-3B for quarterly filers?,"For QRMP scheme taxpayers, GSTR-3B is due on the 22nd of the month following the quarter end for Category 1 states (including Maharashtra) and 24th for Category 2 states. For FY 2024-25 quarters ending June, September, December, and March, the due dates are July 22, October 22, January 22, and April 22 respectively.","Central Goods and Services Tax Act, 2017",Section 39(1),CBIC Notification 84/2020-CT
What is the threshold for mandatory GST registration?,"For suppliers of goods, mandatory GST registration is required when aggregate turnover exceeds Rs 40 lakhs in a financial year (Rs 20 lakhs for special category states). For service providers, the threshold is Rs 20 lakhs (Rs 10 lakhs for special category states). Aggregate turnover includes exempt supplies but excludes inward supplies under reverse charge.","Central Goods and Services Tax Act, 2017",Section 22,CBIC Circular 78/52/2018-GST
What is the rate of interest on late GST payment?,"Interest is levied at 18% per annum on the net cash tax liability that is paid after the due date. However, under the proviso to Section 50(1) inserted by Finance Act 2021, interest is levied only on the net cash liability (not on ITC portion) for delayed filing of GSTR-3B. Interest is computed on a per-day basis.","Central Goods and Services Tax Act, 2017",Section 50(1),CBIC Circular 150/06/2021-GST
Is professional tax applicable in Maharashtra for proprietors?,"Yes. Under the Maharashtra State Tax on Professions, Trades, Callings and Employments Act, 1975, every person engaged in any profession, trade or calling in Maharashtra is liable to pay professional tax. For proprietors/self-employed individuals, tax ranges from Nil (income below Rs 7,500/month) to Rs 2,500 per annum (income above Rs 10,000/month). Enrollment certificate must be obtained within 30 days of commencement.","Maharashtra State Tax on Professions, Trades, Callings and Employments Act, 1975","Section 3, Schedule I",Maharashtra PT Circular 2023-24
Can a company claim ITC on capital goods?,"Yes, ITC on capital goods is available in full in the same tax period in which the capital goods are received, subject to the condition that they are used for taxable supplies. However, ITC is blocked if capital goods are exclusively used for exempt supplies or personal use. If used for both taxable and exempt supplies, ITC is available proportionately as per Rule 43 of CGST Rules.","Central Goods and Services Tax Act, 2017","Section 16, Section 17(1), Rule 43 CGST Rules",CBIC Circular 140/10/2020-GST
What documents are required for GST refund on export of goods?,"For GST refund under LUT/Bond on export of goods (zero-rated supply), the taxpayer must file Form RFD-01 along with: Export invoices, Shipping bills with EGM data, Bank realisation certificate (for foreign currency), Form GSTR-3B and GSTR-1 filed for the relevant period. Refund must be applied within 2 years from the relevant date as per Section 54.","Central Goods and Services Tax Act, 2017","Section 54, Rule 89 CGST Rules",CBIC Circular 125/44/2019-GST
Sample compliance question 11,Answer with proper statutory citation for question 11. Reference section and circular provided.,"Central Goods and Services Tax Act, 2017",Section 74,CBIC Circular 125/37/2023
Sample compliance question 12,Answer with proper statutory citation for question 12. Reference section and circular provided.,"Central Goods and Services Tax Act, 2017",Section 78,CBIC Circular 119/11/2023
Sample compliance question 13,Answer with proper statutory citation for question 13. Reference section and circular provided.,"Central Goods and Services Tax Act, 2017",Section 51,CBIC Circular 166/29/2023
Sample compliance question 14,Answer with proper statutory citation for question 14. Reference section and circular provided.,"Central Goods and Services Tax Act, 2017",Section 24,CBIC Circular 187/14/2023
Sample compliance question 15,Answer with proper statutory citation for question 15. Reference section and circular provided.,"Central Goods and Services Tax Act, 2017",Section 72,CBIC Circular 111/33/2023
Sample compliance question 16,Answer with proper statutory citation for question 16. Reference section and circular provided.,"Central Goods and Services Tax Act, 2017",Section 67,CBIC Circular 107/30/2023
Sample compliance question 17,Answer with proper statutory citation for question 17. Reference section and circular provided.,"Central Goods and Services Tax Act, 2017",Section 26,CBIC Circular 165/27/2023
Sample compliance question 18,Answer with proper statutory citation for question 18. Reference section and circular provided.,"Central Goods and Services Tax Act, 2017",Section 68,CBIC Circular 172/4/2023
Sample compliance question 19,Answer with proper statutory citation for question 19. Reference section and circular provided.,"Central Goods and Services Tax Act, 2017",Section 69,CBIC Circular 186/20/2023
Sample compliance question 20,Answer with proper statutory citation for question 20. Reference section and circular provided.,"Central Goods and Services Tax Act, 2017",Section 12,CBIC Circular 150/17/2023
Sample compliance question 21,Answer with proper statutory citation for question 21. Reference section and circular provided.,"Central Goods and Services Tax Act, 2017",Section 10,CBIC Circular 195/14/2023
Sample compliance question 22,Answer with proper statutory citation for question 22. Reference section and circular provided.,"Central Goods and Services Tax Act, 2017",Section 19,CBIC Circular 105/28/2023
Sample compliance question 23,Answer with proper statutory citation for question 23. Reference section and circular provided.,"Central Goods and Services Tax Act, 2017",Section 54,CBIC Circular 189/5/2023
Sample compliance question 24,Answer with proper statutory citation for question 24. Reference section and circular provided.,"Central Goods and Services Tax Act, 2017",Section 79,CBIC Circular 107/5/2023
Sample compliance question 25,Answer with proper statutory citation for question 25. Reference section and circular provided.,"Central Goods and Services Tax Act, 2017",Section 70,CBIC Circular 104/19/2023
Sample compliance question 26,Answer with proper statutory citation for question 26. Reference section and circular provided.,"Central Goods and Services Tax Act, 2017",Section 62,CBIC Circular 123/50/2023
Sample compliance question 27,Answer with proper statutory citation for question 27. Reference section and circular provided.,"Central Goods and Services Tax Act, 2017",Section 27,CBIC Circular 198/42/2023
Sample compliance question 28,Answer with proper statutory citation for question 28. Reference section and circular provided.,"Central Goods and Services Tax Act, 2017",Section 63,CBIC Circular 147/25/2023
Sample compliance question 29,Answer with proper statutory citation for question 29. Reference section and circular provided.,"Central Goods and Services Tax Act, 2017",Section 67,CBIC Circular 148/25/2023
Sample compliance question 30,Answer with proper statutory citation for question 30. Reference section and circular provided.,"Central Goods and Services Tax Act, 2017",Section 20,CBIC Circular 187/43/2023
